"","Casualty.Class","Age.of.Casualty","Weather.Conditions","Type.of.Vehicle","Casualty.Severity"
"578",3,23,1,9,3
"579",3,24,1,9,3
"580",3,25,1,9,3
"581",1,20,2,9,2
"582",2,37,2,9,2
"583",2,21,2,9,3
"584",2,25,2,9,3
"585",2,19,2,9,3
"586",1,40,2,9,2
"587",1,18,1,9,3
"588",2,16,1,9,3
"589",2,74,1,9,2
"590",1,44,1,1,3
"591",2,65,1,9,3
"592",1,68,1,9,3
"593",1,46,1,9,3
"594",1,65,1,1,3
"595",3,75,2,8,3
"596",1,20,2,2,2
"597",3,8,2,9,3
"598",1,45,1,9,3
"599",2,45,1,9,3
"600",1,26,1,1,3
"601",1,46,1,1,3
"602",1,60,1,5,3
"603",3,15,1,9,2
"604",1,20,1,9,3
"605",2,21,1,9,3
"606",1,28,1,19,3
"607",1,16,1,23,3
"608",1,37,1,9,3
"609",2,10,1,9,3
"610",2,12,1,9,3
"611",3,1,1,8,2
"612",3,36,1,8,3
"613",1,63,2,9,3
"614",2,25,2,9,3
"615",2,65,2,9,3
"616",2,25,1,9,3
"617",3,100,1,9,3
"618",2,31,1,8,3
"619",2,27,1,8,3
"620",2,9,1,8,3
"621",2,7,1,8,3
"622",2,1,1,8,3
"623",2,54,1,8,3
"624",1,36,1,9,3
"625",1,37,1,9,3
"626",2,27,1,9,3
"627",1,31,1,9,3
"628",2,24,1,9,3
"629",1,90,1,9,3
"630",3,24,1,9,2
"631",1,20,1,9,3
"632",1,44,1,1,3
"633",1,54,1,1,3
"634",3,16,2,9,3
"635",3,92,1,9,2
"636",1,34,1,9,3
"637",3,79,1,19,3
"638",1,67,1,9,3
"639",1,39,1,9,3
"640",3,21,2,9,2
"641",3,6,1,9,3
"642",2,26,1,19,3
"643",1,27,1,9,3
"644",1,21,1,3,3
"645",1,30,2,9,3
"646",2,53,1,11,3
"647",3,52,2,9,2
"648",2,40,1,9,3
"649",1,42,2,9,3
"650",1,75,1,4,2
"651",1,10,1,1,2
"652",1,76,1,9,3
"653",2,21,1,9,3
"654",1,45,1,3,3
"655",1,11,1,1,3
"656",1,53,1,9,3
"657",2,19,1,9,3
"658",1,53,1,8,3
"659",1,51,5,21,3
"660",1,35,5,11,2
"661",2,22,5,11,2
"662",2,2,1,9,3
"663",2,6,1,9,3
"664",1,43,1,9,3
"665",1,32,1,1,1
"666",1,61,1,1,2
"667",1,38,1,9,3
"668",2,49,1,11,3
"669",2,20,1,19,3
"670",2,36,1,9,3
"671",2,7,1,9,3
"672",2,8,1,9,3
"673",2,12,1,9,3
"674",3,36,1,4,3
"675",3,31,1,9,3
"676",3,1,1,9,3
"677",1,49,1,9,3
"678",1,26,1,19,2
"679",2,15,1,19,3
"680",1,43,1,8,3
"681",2,20,1,19,3
"682",1,22,1,9,3
"683",1,44,2,9,3
"684",1,33,1,9,3
"685",1,37,1,9,3
"686",1,27,1,9,3
"687",1,53,1,9,3
"688",1,68,1,9,3
"689",1,21,2,9,3
"690",1,24,1,9,3
"691",2,2,1,9,3
"692",2,20,1,9,3
"693",2,17,1,9,3
"694",3,20,1,9,2
"695",1,20,1,9,3
"696",2,27,1,9,3
"697",1,46,1,5,3
"698",1,34,1,9,2
"699",2,20,1,9,2
"700",2,24,1,9,2
"701",1,14,1,1,2
"702",1,20,1,9,3
"703",2,14,1,9,3
"704",1,21,2,5,1
"705",1,37,1,9,3
"706",1,50,1,22,3
"707",3,64,1,2,3
"708",3,38,2,8,2
"709",1,51,1,1,2
"710",1,35,1,5,3
"711",2,13,1,11,3
"712",2,34,1,11,3
"713",2,17,1,11,3
"714",2,60,1,11,3
"715",3,48,1,11,3
"716",1,51,1,3,3
"717",1,32,1,19,3
"718",1,27,2,9,3
"719",1,23,1,9,3
"720",1,20,1,9,3
"721",2,18,1,9,3
"722",1,12,1,2,3
"723",1,13,1,2,3
"724",1,34,9,9,3
"725",1,26,1,9,2
"726",2,25,1,9,2
"727",1,54,1,9,2
"728",1,40,1,9,3
"729",1,46,1,9,3
"730",3,50,2,19,3
"731",1,36,1,9,3
"732",2,19,1,9,3
"733",2,15,1,9,3
"734",1,49,1,9,2
"735",2,28,1,9,2
"736",1,58,1,9,3
"737",1,45,1,9,3
"738",2,30,1,9,3
"739",2,24,1,9,3
"740",3,32,1,9,3
"741",1,28,1,17,3
"742",1,37,2,9,3
"743",2,36,2,9,3
"744",1,26,2,9,3
"745",3,60,2,9,2
"746",1,85,1,9,3
"747",1,30,1,9,1
"748",2,26,1,9,1
"749",2,65,1,11,3
"750",3,61,1,8,3
"751",3,55,1,9,3
"752",2,9,1,9,3
"753",1,28,1,9,2
"754",2,19,1,9,2
"755",1,35,1,9,3
"756",1,47,1,5,3
"757",1,14,1,1,3
"758",1,52,1,1,3
"759",1,60,1,1,3
"760",1,14,1,1,3
"761",1,52,1,9,3
"762",2,55,1,9,3
"763",3,1,1,9,3
"764",1,26,1,9,3
"765",1,55,1,1,3
"766",1,63,1,9,3
"767",3,11,1,9,3
"768",1,56,1,9,3
"769",3,19,1,19,3
"770",1,16,2,2,3
"771",1,55,1,9,3
"772",1,37,1,1,2
"773",1,18,1,9,1
"774",2,72,1,9,3
"775",3,24,1,9,3
"776",1,18,1,9,3
"777",3,43,1,9,3
"778",2,11,8,9,3
"779",3,35,1,9,3
"780",1,51,1,1,3
"781",3,13,1,9,3
"782",1,23,1,9,3
"783",1,23,1,3,3
"784",3,5,1,10,3
"785",1,28,1,9,3
"786",2,62,1,9,3
"787",1,54,1,9,3
"788",2,48,1,9,3
"789",1,38,1,19,3
"790",2,29,1,9,3
"791",2,25,1,9,3
"792",1,86,1,9,3
"793",1,22,1,9,3
"794",2,24,1,9,3
"795",3,51,2,9,3
"796",1,48,1,9,3
"797",2,10,1,9,3
"798",2,32,1,9,3
"799",2,20,1,8,3
"800",1,72,1,9,3
"801",1,78,1,9,3
"802",1,46,1,1,2
"803",1,79,1,9,3
"804",1,49,1,9,3
"805",1,33,1,4,3
"806",2,35,1,9,3
"807",1,20,1,9,3
"808",3,40,1,9,3
"809",3,25,1,19,3
"810",2,64,1,11,3
"811",3,27,1,9,3
"812",2,52,1,9,3
"813",1,21,1,3,2
"814",1,41,1,9,3
"815",1,44,1,9,3
"816",3,74,1,9,3
"817",1,58,3,8,3
"818",3,36,1,9,3
"819",3,22,1,9,3
"820",2,82,1,9,3
"821",1,25,1,9,3
"822",1,38,1,9,3
"823",2,15,1,9,3
"824",1,19,1,9,3
"825",1,54,1,1,3
"826",1,50,1,9,3
"827",1,22,1,9,3
"828",1,24,1,1,3
"829",1,48,1,9,3
"830",2,49,1,9,3
"831",2,17,1,9,3
"832",1,26,2,3,3
"833",3,24,5,9,3
"834",1,47,1,9,3
"835",2,16,1,9,3
"836",1,30,1,9,3
"837",3,33,1,9,3
"838",3,69,1,9,3
"839",1,41,1,1,3
"840",1,61,1,5,3
"841",1,81,1,9,3
"842",3,52,1,21,2
"843",1,87,1,9,3
"844",2,87,1,9,2
"845",3,39,1,90,3
"846",1,48,1,19,3
"847",1,40,1,19,3
"848",3,82,1,9,2
"849",1,66,1,19,3
"850",1,45,1,9,3
"851",1,36,1,1,3
"852",2,29,1,9,2
"853",1,39,1,9,2
"854",1,29,1,9,2
"855",3,72,1,9,3
"856",1,43,1,9,3
"857",1,38,1,8,3
"858",2,33,1,9,3
"859",1,80,1,9,1
"860",3,82,1,9,3
"861",1,38,1,9,3
"862",1,29,1,1,3
"863",2,36,7,9,2
"864",3,21,1,9,3
"865",1,35,1,9,3
"866",2,49,1,9,3
"867",2,7,1,9,3
"868",2,18,1,9,3
"869",1,43,1,9,3
"870",1,51,1,9,3
"871",2,45,1,9,3
"872",3,72,1,9,2
"873",1,29,1,9,1
"874",1,53,1,9,3
"875",2,59,1,9,3
"876",1,50,1,5,3
"877",3,15,1,9,3
"878",1,32,1,8,3
"879",1,33,1,5,3
"880",1,34,1,9,3
"881",1,17,1,3,3
"882",1,17,1,3,3
"883",3,82,1,8,3
"884",1,22,5,9,3
"885",3,26,2,8,2
"886",1,43,2,9,3
"887",2,15,2,9,3
"888",2,26,1,8,2
"889",1,66,1,8,2
"890",1,27,2,9,3
"891",1,18,1,1,3
"892",1,19,1,1,3
"893",2,2,2,8,3
"894",1,64,1,21,2
"895",1,29,1,9,3
"896",1,64,1,9,2
"897",1,44,5,9,3
"898",2,44,6,9,3
"899",2,22,6,9,3
"900",2,8,6,9,3
"901",2,20,6,9,3
"902",1,18,1,9,3
"903",1,30,5,9,3
"904",1,32,5,9,3
"905",2,83,1,9,3
"906",1,42,1,8,3
"907",2,20,1,8,3
"908",1,82,1,9,2
"909",3,13,1,9,2
"910",3,66,2,9,3
"911",1,44,1,9,3
"912",1,38,1,9,3
"913",1,29,8,9,3
"914",1,29,8,9,3
"915",1,26,3,9,3
"916",1,34,5,9,2
"917",1,27,5,9,3
"918",2,33,5,9,3
"919",1,45,1,9,3
"920",3,57,1,9,3
"921",1,18,1,9,3
"922",2,17,1,9,3
"923",2,16,1,9,3
"924",3,13,4,9,3
"925",3,37,4,9,3
"926",3,16,5,9,3
"927",1,50,1,1,2
"928",1,45,1,9,3
"929",1,64,1,9,3
