"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"169",2,2017-07-10,1926,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,2,3,"Female",18
"170",1,2017-07-10,1931,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,3,3,"Male",4
"171",2,2017-07-13,907,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",35
"172",1,2017-07-15,1510,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",14
"173",2,2017-07-15,2241,"A646","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",21
"174",2,2017-07-16,1357,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",31
"175",2,2017-07-17,849,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",9
"176",2,2017-07-19,750,"A6036","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",35
"177",2,2017-07-19,1114,"A644","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",63
"178",2,2017-07-20,843,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",38
"179",2,2017-07-20,859,"B6112","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",29
"180",2,2017-07-21,1758,"M62","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Female",26
"181",1,2017-07-24,2328,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",NA
"182",1,2017-07-29,40,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",8,1,3,"Male",49
"183",2,2017-07-30,822,"U","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",51
"184",2,2017-07-30,1933,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",19,1,3,"Male",7
"185",2,2017-08-01,1020,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Male",47
"186",1,2017-08-05,1550,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,2,"Female",44
"187",2,2017-08-06,1530,"A6033","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",72
